"RowNames","lon","lat","elevation","vegetation","exposure","slope","veg9"
"6514",591.71891872159995,702.04303082659999,2324,10,237,32,4
"6515",595.22921122160005,702.04303082659999,2365,10,89,19,4
"6516",598.73950372160004,702.04303082659999,1642,15,15,5,6
"6517",602.24979622160004,702.04303082659999,1498,15,264,20,6
"6518",605.76008872160003,702.04303082659999,1959,18,267,31,4
"6519",609.27038122160002,702.04303082659999,2219,10,288,30,4
"6520",612.78067372160001,702.04303082659999,2070,18,146,13,4
"6521",616.2909662216,702.04303082659999,1735,18,97,8,4
"6522",619.80125872159999,702.04303082659999,1776,15,169,8,6
"6523",623.31155122159998,702.04303082659999,1938,15,221,4,6
"6524",626.82184372159998,702.04303082659999,1933,15,222,13,6
"6525",630.33213622159997,702.04303082659999,2195,26,141,1,7
"6526",633.84242872159996,702.04303082659999,1973,36,51,21,8
"6527",637.35272122159995,702.04303082659999,1876,15,42,19,6
"6528",640.86301372160005,702.04303082659999,1999,36,259,23,8
"6529",644.37330622160005,702.04303082659999,1586,26,122,16,7
"6530",647.88359872160004,702.04303082659999,1684,15,289,31,6
"6531",728.62032622159995,702.04303082659999,1219,40,315,0,9
"6532",732.13061872159994,702.04303082659999,1111,40,252,17,9
"6533",735.64091122160005,702.04303082659999,1218,40,83,15,9
"6534",739.15120372160004,702.04303082659999,1046,2,93,10,1
"6535",742.66149622160003,702.04303082659999,792,40,72,0,9
"6536",746.17178872160002,702.04303082659999,723,40,198,2,9
"6537",749.68208122160001,702.04303082659999,724,40,208,3,9
"6538",753.19237372160001,702.04303082659999,667,40,123,8,9
"6539",756.7026662216,702.04303082659999,1144,40,295,24,9
"6540",760.21295872159999,702.04303082659999,913,2,137,7,1
"6541",763.72325122159998,702.04303082659999,791,39,191,0,9
"6542",767.23354372159997,702.04303082659999,748,39,164,2,9
"6543",770.74383622159996,702.04303082659999,731,2,135,0,1
"6544",774.25412872159995,702.04303082659999,782,40,286,8,9
"6545",777.76442122159995,702.04303082659999,747,40,274,9,9
"6546",479.3895587216,699.49856582660004,1404,26,126,0,7
"6547",482.89985122159999,699.49856582660004,1402,26,23,0,7
"6548",486.41014372159998,699.49856582660004,1232,26,140,15,7
