"","ENT_REGIS","MUN_REGIS","LOC_REGIS","TAM_LOC_RE","DIA_REGIS","MES_REGIS","ANIO_REGIS","REGIMEN_MA","GENERO","SEXO_CON1","EDAD_CON1","NACI_CON1","OCUP_CON1","ENTRH_CON1","MUNRH_CON1","LOCRH_CON1","TLORH_CON1","ESCOL_CON1","CONACTCON1","SITLABCON1","POSTRACON1","SEXO_CON2","EDAD_CON2","NACI_CON2","OCUP_CON2","ENTRH_CON2","MUNRH_CON2","LOCRH_CON2","TLORH_CON2","ESCOL_CON2","CONACTCON2","SITLABCON2","POSTRACON2","TIPO_CON","NOM_LOC"
"96",2,2,1,15,18,2,2017,NA,1,1,36,1,4,26,18,1,14,NA,1,1,NA,2,30,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"97",2,2,1,15,23,6,2017,NA,1,1,25,1,8,18,16,1,6,NA,1,1,NA,2,34,1,11,11,28,1,9,NA,2,3,NA,1,"Ensenada"
"98",2,2,1,15,22,12,2017,NA,1,1,18,2,NA,33,999,9999,NA,NA,1,1,NA,2,20,1,11,25,6,1,15,NA,2,2,NA,1,"Ensenada"
"99",2,2,1,15,9,12,2017,NA,1,1,36,1,NA,2,2,1,15,NA,1,1,NA,2,31,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"100",2,2,1,15,7,4,2017,NA,1,1,40,1,NA,4,3,783,1,NA,1,1,NA,2,34,1,NA,13,11,1,3,NA,1,1,NA,1,"Ensenada"
"101",2,2,1,15,10,11,2017,NA,1,1,31,1,2,2,2,1,15,7,1,1,NA,2,27,1,2,2,2,1,15,7,1,1,NA,1,"Ensenada"
"102",2,2,1,15,10,11,2017,NA,1,1,34,1,NA,2,2,1,15,NA,1,1,NA,2,39,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"103",2,2,1,15,12,12,2017,NA,1,1,24,1,3,2,2,1,15,NA,1,1,NA,2,30,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"104",2,2,1,15,25,3,2017,NA,1,1,29,1,2,2,2,1,15,7,1,1,NA,2,28,1,2,2,2,1,15,7,1,1,NA,1,"Ensenada"
"105",2,2,1,15,8,9,2017,NA,1,1,21,1,8,7,51,1,7,NA,1,1,NA,2,18,1,11,7,32,15,1,NA,2,3,NA,1,"Ensenada"
"106",2,2,1,15,21,11,2017,NA,1,1,22,1,NA,2,2,1,15,NA,1,1,NA,2,20,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"107",2,2,1,15,16,12,2017,NA,1,1,64,1,11,2,2,1,15,NA,2,4,NA,2,51,1,2,2,2,1,15,7,1,1,NA,1,"Ensenada"
"108",2,2,1,15,20,5,2017,NA,1,1,24,1,NA,33,999,9999,NA,NA,1,1,NA,2,22,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"109",2,2,1,15,5,4,2017,NA,1,1,24,1,2,2,2,1,15,NA,1,1,NA,2,30,1,2,2,2,1,15,7,1,1,NA,1,"Ensenada"
"110",2,2,1,15,27,11,2017,NA,1,1,26,1,NA,26,55,1,13,NA,1,1,NA,2,22,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"111",2,2,1,15,27,2,2017,NA,1,1,23,1,NA,2,2,1,15,NA,1,1,NA,2,30,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"112",2,2,1,15,2,2,2017,NA,1,1,21,1,7,2,2,1,15,NA,1,1,NA,2,18,1,11,34,999,9999,NA,NA,2,2,NA,1,"Ensenada"
"113",2,2,1,15,7,7,2017,NA,1,1,36,2,8,24,25,9999,NA,NA,1,1,NA,2,37,1,11,26,42,9999,NA,NA,2,3,NA,1,"Ensenada"
"114",2,2,1,15,6,10,2017,NA,1,1,30,1,2,2,2,1,15,7,1,1,NA,2,27,1,2,26,17,9999,NA,7,1,1,NA,1,"Ensenada"
"115",2,2,1,15,31,3,2017,NA,1,1,39,1,2,2,2,1,15,NA,1,1,NA,2,35,1,11,26,17,1,11,NA,2,3,NA,1,"Ensenada"
"116",2,2,1,15,1,7,2017,NA,1,1,59,1,NA,18,18,4,4,NA,1,1,NA,2,51,1,11,18,18,4,4,NA,2,3,NA,1,"Ensenada"
"117",2,2,1,15,5,4,2017,NA,1,1,25,1,NA,2,2,1,15,NA,1,1,NA,2,34,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"118",2,2,1,15,17,6,2017,NA,1,1,21,1,NA,2,2,1,15,NA,1,1,NA,2,21,2,NA,33,999,9999,NA,NA,1,1,NA,1,"Ensenada"
"119",2,2,1,15,14,2,2017,NA,1,1,37,1,8,27,5,1,10,NA,1,1,NA,2,49,1,11,25,6,312,8,NA,2,3,NA,1,"Ensenada"
"120",2,2,1,15,13,5,2017,NA,1,1,22,2,2,33,999,9999,NA,NA,1,1,NA,2,20,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"121",2,2,1,15,27,2,2017,NA,1,1,50,1,2,2,2,1,15,NA,1,1,NA,2,58,1,2,2,2,9999,NA,7,1,1,NA,1,"Ensenada"
"122",2,2,1,15,27,12,2017,NA,1,1,28,1,NA,2,4,1,16,NA,1,1,NA,2,31,1,2,2,2,1,15,7,1,1,NA,1,"Ensenada"
"123",2,2,1,15,27,9,2017,NA,1,1,23,1,NA,2,2,1,15,NA,1,1,NA,2,23,1,2,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"124",2,2,1,15,17,2,2017,NA,1,1,42,1,NA,2,2,1,15,NA,1,1,NA,2,45,1,5,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"125",2,2,1,15,3,3,2017,NA,1,1,59,1,NA,2,2,9999,NA,NA,1,1,NA,2,58,1,11,2,2,9999,NA,NA,2,3,NA,1,"Ensenada"
"126",2,2,1,15,10,3,2017,NA,1,1,23,1,NA,2,2,1,15,NA,1,1,NA,2,25,1,NA,26,18,1,14,NA,1,1,NA,1,"Ensenada"
"127",2,2,1,15,7,2,2017,NA,1,1,26,1,NA,20,426,4,1,NA,1,1,NA,2,36,1,11,20,67,1,14,NA,2,3,NA,1,"Ensenada"
"128",2,2,1,15,10,9,2017,NA,1,1,57,1,9,2,2,1,15,NA,1,1,NA,2,47,1,11,25,6,1,15,NA,2,3,NA,1,"Ensenada"
"129",2,2,1,15,1,2,2017,NA,1,1,43,1,NA,2,2,1,15,NA,1,1,NA,2,34,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"130",2,2,1,15,12,5,2017,NA,1,1,25,1,NA,2,2,1,15,NA,1,1,NA,2,19,2,NA,33,999,9999,NA,NA,1,1,NA,1,"Ensenada"
"131",2,2,1,15,19,9,2017,NA,1,1,61,1,2,25,11,1,11,7,1,1,NA,2,61,1,11,2,2,1,15,NA,2,4,NA,1,"Ensenada"
