"ENT_REGIS","MUN_REGIS","LOC_REGIS","TAM_LOC_RE","DIA_REGIS","MES_REGIS","ANIO_REGIS","REGIMEN_MA","GENERO","SEXO_CON1","EDAD_CON1","NACI_CON1","OCUP_CON1","ENTRH_CON1","MUNRH_CON1","LOCRH_CON1","TLORH_CON1","ESCOL_CON1","CONACTCON1","SITLABCON1","POSTRACON1","SEXO_CON2","EDAD_CON2","NACI_CON2","OCUP_CON2","ENTRH_CON2","MUNRH_CON2","LOCRH_CON2","TLORH_CON2","ESCOL_CON2","CONACTCON2","SITLABCON2","POSTRACON2","TIPO_CON"
16,53,1,15,19,5,2017,2,1,1,20,1,4,16,53,125,1,9,1,1,5,2,19,1,11,16,53,1,15,9,2,2,9,1
6,2,1,13,30,11,2017,1,1,1,48,1,2,6,2,1,13,7,1,1,2,2,36,1,11,6,2,1,13,5,2,3,9,1
20,156,1,2,11,7,2017,1,1,1,19,1,6,20,257,1,1,4,1,1,3,2,21,1,11,20,257,1,1,4,2,3,9,1
14,18,1,9,10,2,2017,1,1,1,22,1,8,14,18,172,1,5,1,1,2,2,21,1,98,14,18,40,3,6,1,1,2,1
15,70,1,12,17,10,2017,1,1,1,52,1,98,15,58,1,16,4,1,1,2,2,41,1,11,15,58,1,16,5,2,3,9,1
29,18,1,8,16,12,2017,2,1,1,34,1,98,29,18,1,8,7,1,1,2,2,26,1,98,29,18,1,8,6,1,1,2,1
17,7,1,14,28,2,2017,1,1,1,35,1,98,11,999,9999,99,7,1,1,2,2,31,1,11,17,7,1,14,5,2,3,9,1
30,87,1,14,18,8,2017,1,1,1,31,1,98,30,87,1,14,9,1,1,9,2,28,1,98,30,87,1,14,9,1,1,9,1
15,99,1,13,30,1,2017,1,1,1,29,1,7,15,99,23,1,4,1,1,3,2,37,1,11,15,99,23,1,5,2,3,9,1
11,14,1,11,11,9,2017,2,1,1,34,1,2,11,14,1,11,4,1,1,2,2,29,1,98,11,14,308,1,6,1,1,2,1
13,28,1,10,11,4,2017,1,1,1,23,1,98,13,28,7777,2,5,1,1,2,2,21,1,11,13,28,7777,2,5,2,3,9,1
25,15,40,5,27,12,2017,1,1,1,24,2,98,33,999,9999,99,6,1,1,2,2,24,1,11,25,12,1,14,5,2,3,9,1
2,4,1,16,19,8,2017,9,1,1,33,1,7,16,112,207,1,5,1,1,2,2,28,1,2,2,4,1,16,6,1,1,2,1
11,7,109,4,2,6,2017,2,1,1,25,1,98,11,7,109,4,6,1,1,2,2,26,1,98,11,7,157,1,5,1,1,2,1
30,118,1,13,18,12,2017,1,1,1,29,1,98,30,118,1,13,7,1,1,2,2,29,1,98,30,118,1,13,7,1,1,2,1
11,37,1,11,23,2,2017,2,1,1,22,1,8,11,37,35,1,5,1,1,1,2,20,1,11,11,37,7777,1,6,2,3,9,1
7,78,1,13,20,12,2017,2,1,1,29,1,4,7,78,1,13,5,1,1,4,2,31,1,7,7,78,1,13,5,1,1,4,1
14,97,1,9,15,12,2017,1,1,1,28,1,98,14,97,23,4,6,1,1,2,2,33,1,98,14,97,1,9,7,1,1,2,1
8,32,1,13,8,2,2017,2,1,1,25,1,98,8,32,1,13,5,1,1,2,2,22,1,11,8,32,1,13,6,2,3,9,1
5,33,1,10,9,12,2017,2,1,1,23,1,7,5,33,1,10,9,1,1,9,2,23,1,11,5,33,94,2,9,2,3,9,1
28,11,1,3,3,8,2017,1,1,1,30,1,2,28,27,1,14,7,1,1,2,2,25,1,2,28,21,1,12,7,1,1,2,1
15,60,1,14,13,2,2017,1,1,1,28,1,98,15,60,82,6,7,1,1,2,2,23,1,98,15,60,82,6,6,1,1,2,1
21,53,1,7,28,4,2017,1,1,1,34,1,2,21,208,15,4,7,1,1,2,2,27,1,3,21,208,15,4,7,1,1,2,1
14,93,58,6,30,10,2017,1,1,1,23,1,98,14,93,58,6,5,1,1,2,2,23,1,3,14,93,58,6,6,1,1,2,1
14,97,32,8,23,3,2017,1,1,1,45,1,7,14,97,32,8,4,1,1,4,2,31,1,11,14,97,32,8,5,2,3,9,1
9,14,1,14,4,3,2017,2,1,1,32,1,2,9,14,1,14,7,1,1,2,2,32,1,1,9,14,1,14,7,1,1,5,1
19,9,1,11,13,5,2017,1,1,1,30,1,98,19,9,1,11,9,1,1,2,2,26,1,98,19,9,1,11,9,1,1,2,1
7,101,1,15,28,2,2017,1,1,1,28,1,98,7,101,1,15,5,1,1,2,2,19,1,11,7,101,1,15,5,2,3,9,1
28,38,1,14,27,5,2017,1,1,1,31,2,98,28,38,1,14,7,1,1,2,2,45,2,98,28,38,1,14,7,1,1,2,1
19,19,1,13,7,11,2017,1,1,1,34,1,98,19,26,1,15,7,1,1,2,2,28,1,98,19,19,1,13,6,1,1,2,1
26,4,1,5,14,2,2017,1,1,1,47,1,98,26,4,1,5,4,1,1,2,2,36,1,11,26,4,1,5,4,2,3,9,1
7,21,1,5,22,11,2017,1,1,1,29,1,6,7,21,9,1,5,1,1,3,2,27,1,11,7,21,20,1,5,2,3,9,1
32,38,1,5,5,9,2017,1,1,1,21,1,7,32,38,126,2,6,1,1,1,2,20,1,11,32,38,126,2,6,2,3,9,1
30,189,1,12,26,4,2017,1,1,1,27,1,2,30,124,1,11,6,1,1,2,2,26,1,11,30,189,1,12,6,2,3,9,1
15,33,1,17,25,3,2017,1,1,1,30,1,98,15,33,1,17,5,1,1,2,2,30,1,98,15,109,1,8,6,1,1,2,1
30,131,1,13,12,6,2017,1,1,1,28,1,98,30,131,1,13,6,1,1,2,2,26,1,11,30,131,1,13,7,2,3,9,1
10,7,1,14,23,8,2017,1,1,1,26,1,98,28,27,1,14,5,1,1,4,2,33,1,98,28,27,1,14,6,1,1,2,1
7,31,619,1,28,2,2017,1,1,1,28,1,6,7,31,619,1,5,1,1,3,2,26,1,11,7,31,619,1,3,2,3,9,1
20,153,1,4,18,12,2017,1,1,1,22,1,98,20,14,33,1,5,1,1,2,2,18,1,11,20,2,200,1,5,2,3,9,1
31,21,1,5,17,2,2017,1,1,1,22,1,6,31,21,22,1,4,1,1,6,2,19,1,11,31,21,18,1,4,2,3,9,1
5,35,1,15,5,8,2017,2,1,1,29,1,98,5,35,1,15,6,1,1,2,2,24,1,2,5,35,1,15,7,1,1,2,1
25,11,1,11,25,9,2017,1,1,1,22,1,9,25,11,132,8,1,1,1,2,2,20,1,11,25,11,132,8,5,2,3,9,1
1,1,1,15,13,1,2017,2,1,1,31,1,2,1,1,1,15,7,1,1,2,2,25,1,11,1,1,1,15,5,2,3,9,1
12,1,107,2,3,3,2017,1,1,1,16,1,6,12,1,107,2,4,1,1,3,2,19,1,11,12,1,107,2,5,2,3,9,1
9,5,1,16,16,2,2017,1,1,1,25,1,2,9,6,1,14,7,1,1,2,2,26,1,98,9,5,1,16,9,1,1,2,1
11,14,1,11,23,10,2017,2,1,1,28,1,7,11,14,221,1,4,1,1,3,2,23,1,11,11,14,221,1,5,2,3,9,1
25,12,1,14,1,11,2017,1,1,1,35,1,8,25,12,1,14,9,1,1,2,2,28,1,98,25,12,1,14,9,1,1,2,1
17,2,1,5,3,2,2017,2,1,1,35,1,8,17,6,1,13,6,1,1,4,2,29,1,98,17,2,1,5,5,1,1,2,1
7,72,6,2,8,12,2017,1,1,1,21,1,6,7,72,7777,1,4,1,1,3,2,18,1,11,7,72,7777,1,4,2,3,9,1
13,28,1,10,14,2,2017,2,1,1,41,1,98,13,28,7777,1,1,1,1,2,2,37,1,11,13,28,7777,1,5,2,3,9,1
21,114,1,16,31,3,2017,1,1,1,31,1,2,21,114,1,16,7,1,1,2,2,32,1,2,21,114,1,16,7,1,1,2,1
15,121,1,14,23,9,2017,1,1,1,45,1,2,15,121,1,14,7,1,1,2,2,41,1,2,15,121,1,14,7,1,1,2,1
2,2,1,15,29,9,2017,9,1,1,30,1,2,2,2,1,15,7,1,1,9,2,30,1,98,2,2,2983,1,9,1,1,9,1
30,108,1,13,23,3,2017,1,1,1,26,1,98,30,48,1,8,6,1,1,2,2,29,1,11,30,108,7777,1,6,2,3,9,1
21,6,1,2,8,9,2017,1,1,1,30,1,98,21,6,7777,2,7,1,1,2,2,18,1,98,21,6,3,2,6,1,1,2,1
26,30,535,4,17,11,2017,2,1,1,28,1,2,26,30,1,15,7,1,1,2,2,27,1,2,26,30,1,15,7,1,1,2,1
11,42,101,2,18,12,2017,2,1,1,20,1,6,11,42,92,2,5,1,1,3,2,19,1,11,11,42,92,2,5,2,3,9,1
18,18,1,8,10,7,2017,1,1,1,29,1,98,18,18,1,8,7,1,1,2,2,19,1,11,18,18,1,8,7,2,2,9,1
30,138,1,10,21,4,2017,2,1,1,32,1,2,30,138,1,10,7,1,1,2,2,26,1,2,30,138,1,10,7,1,1,2,1
5,35,1,15,24,6,2017,2,1,1,31,1,4,5,35,1,15,7,1,1,2,2,29,1,2,5,35,1,15,7,1,1,2,1
14,50,7777,4,29,7,2017,1,1,1,20,1,7,14,50,2,4,4,1,1,3,2,22,1,11,14,50,2,4,4,2,3,9,1
