ENT_REGIS,MUN_REGIS,LOC_REGIS,TAM_LOC_RE,DIA_REGIS,MES_REGIS,ANIO_REGIS,REGIMEN_MA,GENERO,SEXO_CON1,EDAD_CON1,NACI_CON1,OCUP_CON1,ENTRH_CON1,MUNRH_CON1,LOCRH_CON1,TLORH_CON1,ESCOL_CON1,CONACTCON1,SITLABCON1,POSTRACON1,SEXO_CON2,EDAD_CON2,NACI_CON2,OCUP_CON2,ENTRH_CON2,MUNRH_CON2,LOCRH_CON2,TLORH_CON2,ESCOL_CON2,CONACTCON2,SITLABCON2,POSTRACON2,TIPO_CON
30,118,0001,13,18,12,2017,1,1,1,29,1,98,30,118,0001,13,7,1,1,2,2,29,1,98,30,118,0001,13,7,1,1,2,1
11,037,0001,11,23,2,2017,2,1,1,22,1,8,11,037,0035,1,5,1,1,1,2,20,1,11,11,037,7777,1,6,2,3,9,1
07,078,0001,13,20,12,2017,2,1,1,29,1,4,07,078,0001,13,5,1,1,4,2,31,1,7,07,078,0001,13,5,1,1,4,1
14,097,0001,9,15,12,2017,1,1,1,28,1,98,14,097,0023,4,6,1,1,2,2,33,1,98,14,097,0001,9,7,1,1,2,1
08,032,0001,13,8,2,2017,2,1,1,25,1,98,08,032,0001,13,5,1,1,2,2,22,1,11,08,032,0001,13,6,2,3,9,1
05,033,0001,10,9,12,2017,2,1,1,23,1,7,05,033,0001,10,9,1,1,9,2,23,1,11,05,033,0094,2,9,2,3,9,1
28,011,0001,3,3,8,2017,1,1,1,30,1,2,28,027,0001,14,7,1,1,2,2,25,1,2,28,021,0001,12,7,1,1,2,1
15,060,0001,14,13,2,2017,1,1,1,28,1,98,15,060,0082,6,7,1,1,2,2,23,1,98,15,060,0082,6,6,1,1,2,1
21,053,0001,7,28,4,2017,1,1,1,34,1,2,21,208,0015,4,7,1,1,2,2,27,1,3,21,208,0015,4,7,1,1,2,1
14,093,0058,6,30,10,2017,1,1,1,23,1,98,14,093,0058,6,5,1,1,2,2,23,1,3,14,093,0058,6,6,1,1,2,1
